State ; State, DC, or Puerto Rico ; string ,
County ; County or county equivalent ; string ,,,
TotalPop ; Total population ; numeric ,,,
Men ; Number of men ; numeric ,,,
Women ; Number of women ; numeric ,,,
Hispanic ; % of population that is Hispanic/Latino ; numeric ,,,
White ; % of population that is white ; numeric ,,,
Black ; % of population that is black ; numeric ,,,
Native ; % of population that is Native American or Native Alaskan ; numeric ,,,
Asian ; % of population that is Asian ; numeric ,,,
Pacific ; % of population that is Native Hawaiian or Pacific Islander ; numeric ,,,
Citizen ; Number of citizens ; numeric ,,,
Income ; Median household income ($) ; numeric ,,,
IncomeErr ; Median household income error ($) ; numeric ,,,
IncomePerCap ; Income per capita ($) ; numeric ,,,
IncomePerCapErr ; Income per capita error ($) ; numeric ,,,
Poverty ; % under poverty level ; numeric ,,,
ChildPoverty ; % of children under poverty level ; numeric ,,,
Professional ; % employed in management, business, science, and arts ; numeric 
Service ; % employed in service jobs ; numeric ,,,
Office ; % employed in sales and office jobs ; numeric ,,,
Construction ; % employed in natural resources, construction, and maintenance ; numeric ,
Production ; % employed in production, transportation, and material movement ; numeric ,
Drive ; % commuting alone in a car, van, or truck ; numeric ,
Carpool ; % carpooling in a car, van, or truck ; numeric ,
Transit ; % commuting on public transportation ; numeric ,,,
Walk ; % walking to work ; numeric ,,,
OtherTransp ; % commuting via other means ; numeric ,,,
WorkAtHome ; % working at home ; numeric ,,,
MeanCommute ; Mean commute time (minutes) ; numeric ,,,
Employed ; % employed (16+) ; numeric ,,,
PrivateWork ; % employed in private industry ; numeric ,,,
PublicWork ; % employed in public jobs ; numeric ,,,
SelfEmployed ; % self-employed ; numeric ,,,
FamilyWork ; % in unpaid family work ; numeric ,,,
Unemployment ; % unemployed ; numeric ,,,
