county,fips,candidate,state,votes
NA,US,Donald Trump,US,62984825
NA,US,Hillary Clinton,US,65853516
NA,US,Gary Johnson,US,4489221
NA,US,Jill Stein,US,1429596
NA,US,Evan McMullin,US,510002
NA,US,Darrell Castle,US,186545
NA,US,Gloria La Riva,US,74117
NA,US,Rocky De La Fuente,US,33010
NA,US, None of these candidates,US,28863
NA,US,Richard Duncan,US,24235
NA,US,Dan Vacek,US,13537
NA,US,Alyson Kennedy,US,12465
NA,US,Mike Smith,US,9095
NA,US,Chris Keniston,US,6909
NA,US,Lynn Kahn,US,5637
NA,US,Jim Hedges,US,5609
NA,US,Monica Moorehead,US,4063
NA,US,Peter Skewes,US,3246
NA,US,Rocky Giordani,US,2752
NA,US,Emidio Soltysik,US,2480
NA,US,Scott Copeland,US,2356
NA,US,Tom Hoefling,US,2291
NA,US,Laurence Kotlikoff,US,1440
NA,US,Kyle Kopitke,US,1096
NA,US,Joseph Maldonado,US,872
NA,US,Michael Maturen,US,862
NA,US,Rod Silva,US,751
NA,US,Princess Jacob,US,749
NA,US,Ryan Scott,US,749
NA,US,Bradford Lyttle,US,382
NA,US,Jerry White,US,370
NA,US,Frank Atwood,US,337
NA,CA,Hillary Clinton,CA,8753788
NA,CA,Donald Trump,CA,4483810
NA,CA,Gary Johnson,CA,478500
NA,CA,Jill Stein,CA,278657
NA,CA,Gloria La Riva,CA,66101
NA,FL,Donald Trump,FL,4617886
NA,FL,Hillary Clinton,FL,4504975
NA,FL,Gary Johnson,FL,207043
NA,FL,Jill Stein,FL,64399
NA,FL,Darrell Castle,FL,16475
NA,FL,Rocky De La Fuente,FL,9108
NA,TX,Donald Trump,TX,4685047
NA,TX,Hillary Clinton,TX,3877868
NA,TX,Gary Johnson,TX,283492
NA,TX,Jill Stein,TX,71558
NA,NY,Hillary Clinton,NY,4556124
NA,NY,Donald Trump,NY,2819534
NA,NY,Gary Johnson,NY,176598
NA,NY,Jill Stein,NY,107934
NA,PA,Donald Trump,PA,2970733
NA,PA,Hillary Clinton,PA,2926441
NA,PA,Gary Johnson,PA,146715
NA,PA,Jill Stein,PA,49941
NA,PA,Darrell Castle,PA,21572
NA,IL,Hillary Clinton,IL,3090729
NA,IL,Donald Trump,IL,2146015
NA,IL,Gary Johnson,IL,209596
NA,IL,Jill Stein,IL,76802
NA,OH,Donald Trump,OH,2841005
NA,OH,Hillary Clinton,OH,2394164
NA,OH,Gary Johnson,OH,174498
NA,OH,Jill Stein,OH,46271
NA,OH,Richard Duncan,OH,24235
NA,MI,Donald Trump,MI,2279543
NA,MI,Hillary Clinton,MI,2268839
NA,MI,Gary Johnson,MI,172136
NA,MI,Jill Stein,MI,51463
NA,MI,Darrell Castle,MI,16139
NA,MI,Emidio Soltysik,MI,2209
NA,NC,Donald Trump,NC,2362631
NA,NC,Hillary Clinton,NC,2189316
NA,NC,Gary Johnson,NC,130126
NA,GA,Donald Trump,GA,2089104
NA,GA,Hillary Clinton,GA,1877963
NA,GA,Gary Johnson,GA,125306
NA,VA,Hillary Clinton,VA,1981473
NA,VA,Donald Trump,VA,1769443
NA,VA,Gary Johnson,VA,118274
NA,VA,Evan McMullin,VA,54054
NA,VA,Jill Stein,VA,27638
NA,NJ,Hillary Clinton,NJ,2148278
NA,NJ,Donald Trump,NJ,1601933
NA,NJ,Gary Johnson,NJ,72477
NA,NJ,Jill Stein,NJ,37772
NA,NJ,Darrell Castle,NJ,6161
NA,NJ,Alyson Kennedy,NJ,2156
